影片 ID,影片標題,發布日期,時長,觀看次數,按讚數,留言數,"觀看時數
(小時)",曝光次數,"曝光點
閱率(%)","預估收益
(USD)"
7agXA_tztlE,Line Rangers-觀眾投稿EP.257 || 冬之妖精兔兔－聖誕寵永不讓人失望？ ||,2023-12-23,3:16,"8,433",79,18,256.8,"65,435",10.91%,$14.00
7a8XAOrtejw,LINE Rangers || 葬送的芙莉蓮合作－裝備分析+抽裝攻略 ||,2024-01-31,1:40,"8,432",74,18,127.0,"60,021",11.04%,$9.03
daGs1xMl9WI,Line Rangers-觀眾投稿EP.388 || 終末2翻版重演！京香你的破無敵咧？ ||,2024-10-01,4:54,"8,428",100,26,273.8,"63,767",10.83%,$7.54
kvpaIWDlvr4,(有字幕)Line Rangers-觀眾投稿EP.472 || Dr.賽諾－克制暗屬性的水打！？ ||,2025-04-01,5:36,"8,424",117,30,302.6,"54,524",12.69%,$7.74
oqgRcaodpjE,Line Rangers 數據分析EP.98 || 2025-12月傳奇PvP角色使用率！ ||,2025-12-28,6:55,"8,414",111,28,444.6,"56,502",12.30%,$6.23
g_KEFqGUpUQ,Line Rangers || 喔齁！11月新寵？ ||,2024-10-25,3:32,"8,412",105,36,206.8,"42,524",15.80%,$10.95
niwrzKVmKb4,Line Rangers跨年特別篇 || 2025大獎全回顧！ ||,2025-12-31,8:35,"8,410",129,19,438.1,"75,031",9.43%,$5.32
syGqU0snWbI,Line Rangers-觀眾投稿EP.165 || 靈幻新隆參戰！我感覺到官方的差別待遇… ||,2023-06-01,4:37,"8,394",61,18,277.1,"68,649",10.61%,$10.25
c_BX3kKag6w,LINE Rangers || 櫻花未來限定裝備－裝備分析+抽裝攻略 ||,2024-03-13,1:12,"8,388",90,25,109.7,"52,339",12.71%,$8.09
ATEWx8Yc-3U,Line Rangers-觀眾投稿EP.571 || 才能釋迦－暗改又強化還翻新？ ||,2026-02-03,4:50,"8,350",90,15,281.9,"52,504",13.68%,$6.35
ccn-ECxKTEg,Line Rangers-觀眾投稿EP.124 || 這兩隻頂裝Rangers，可以一隊全破主困！？ ||,2023-03-23,2:34,"8,336",73,20,221.7,"57,864",12.35%,$10.91
7U6JXmyoZ1A,Line Rangers-觀眾投稿EP.538 || 才能路德－傳奇場破格的存活率！ ||,2025-10-06,6:53,"8,251",95,19,360.6,"61,960",10.70%,$10.72
MkcXXEGYVgw,Line Rangers-觀眾投稿EP.181 || 稻草人饅頭人實戰，新能力可以解除增礦!? ||,2023-07-01,4:05,"8,229",86,21,282.0,"62,622",11.10%,$41.13
hGFtEDpXN8I,Line Rangers隨手拍EP.21 || 蛤？我靠一支雷姆拯救全場!? ||,2023-05-29,3:10,"8,150",78,14,251.7,"70,836",9.76%,$11.47
YTNgvTr2Zfk,Line Rangers 數據分析EP.20 || (現在公開了)未公開的更新！流星摸彩活動？ ||,2023-11-22,3:10,"8,138",65,24,128.4,"48,104",13.60%,$8.02
LE6rF-78Wig,Line Rangers-觀眾投稿EP.300 || 偶像莎莉&傳奇七停產陣 ||,2024-03-26,2:33,"8,135",73,14,208.1,"66,234",10.17%,$14.49
JqfW3gQ0Tb0,Line Rangers-觀眾投稿EP.64 || 再進化!!天橋上的神秘魔術熊 ||,2022-11-05,3:26,"8,120",72,14,241.4,"56,046",12.19%,$14.97
SV9Hf5H2Y3E,Line Rangers 數據分析EP.60 || 2024年度回顧，誰是最強合作坦？ ||,2024-12-30,3:05,"8,003",96,19,236.2,"64,954",10.13%,$7.75
XocTJ7ViZYw,Line Rangers銀河特攻隊 || 週年扭蛋！免費扭蛋寵全分析！ ||,2026-02-27,1:07,"7,993",98,15,93.6,"33,527",19.57%,$3.63
jn0lAUGuIAE,(有字幕)Line Rangers-觀眾投稿EP.517 || 早川秋－不可低估的小獎！？ || @94Littledevil ,2025-08-02,3:39,"7,983",83,25,250.0,"73,574",8.85%,$8.37
UHUtKlIYIcI,LINE Rangers || 2025中秋系列！裝備分析＋抽裝攻略 ||,2025-09-03,2:43,"7,915",85,28,194.1,"67,260",9.47%,$6.58
izh4sloi9y0,Line Rangers 數據分析EP.94 || 全網唯一！公會戰寵強度表解說！ ||,2025-12-12,3:07,"7,911",116,33,209.6,"52,502",12.56%,$6.73
b1iWlD1Bbfo,Line Rangers-觀眾投稿EP.260 || 知名導演部長－生不逢時的光打 ||,2024-01-06,4:26,"7,908",68,14,258.8,"68,386",9.19%,$10.63
degIvxWWUCo,Line Rangers-觀眾投稿EP.287 || 怕痛的魔術師熊大，把防禦力點滿了！ ||,2024-02-26,1:59,"7,905",93,6,163.0,"54,482",12.20%,$10.87
xJZOzWt-iEc,Line Rangers 數據分析EP.89 || 季票玩家們！第一隻才能蛙怎麼用？ ||,2025-11-05,9:40,"7,895",97,26,349.2,"52,428",12.16%,$9.40
uA_5eKigfJI,Line Rangers 數據分析EP.37 || 召喚物數據，超詳細分析！ ||,2024-05-28,5:28,"7,875",210,54,350.7,"76,598",8.49%,$9.17
bgDwTNz-ui4,Line Rangers隨手拍EP.26 || 卡位完全體－分身＋毅力終於實現 ||,2023-06-18,4:11,"7,834",59,17,253.8,"49,527",12.55%,$11.53
ToLhHD1dWbQ,Line Rangers 數據分析EP.57 || 2024年度回顧，誰是最強敏捷打？ ||,2024-12-24,4:09,"7,832",88,18,265.8,"56,847",10.86%,$7.89
Zo6xAqVeT80,Line Rangers 數據分析EP.34 || 九星重置寵比一比～ ||,2024-02-04,3:24,"7,826",91,27,249.0,"61,384",10.44%,$12.78
p3B56LpR8VE,Line Rangers 數據分析EP.101 || 2025年度回顧，誰是最強合作坦？ ||,2026-01-07,9:47,"7,811",82,22,468.6,"78,659",8.02%,$7.81
BI0U-m8l2qE,Line Rangers-觀眾投稿EP.125 || 鱷魚牙醫部長—以一擋十，老當益壯！ ||,2023-03-24,2:10,"7,805",57,13,163.0,"48,677",13.50%,$10.41
u4L50Ecv-Vo,Line Rangers隨手拍EP.55 || 迷宮攻略－Lv3挑戰(上) ||,2024-03-02,3:11,"7,771",91,9,211.3,"69,517",8.30%,$11.19
WAaxI-6UNRo,Line Rangers 數據分析EP.97 || 2025年度回顧，誰是最強光暗打？ ||,2025-12-25,11:24,"7,766",91,16,502.4,"65,143",9.93%,$7.80
7r55k9nCYPc,Line Rangers 數據分析EP.92 || 2025-11月傳奇PvP角色使用率！ ||,2025-11-23,6:14,"7,763",79,20,333.8,"64,607",10.05%,$8.66
S_rIyrQ3mPk,Line Rangers-觀眾投稿EP.154 || 李奧納德耳麥－飛寵、公會戰首發神裝？ ||,2023-05-17,4:02,"7,755",68,15,224.5,"46,631",13.23%,$11.05
g6aSfsb9i4A,Line Rangers隨手拍EP.63 || 4400萬傷害的主唱！暴力就是一切...？ ||,2024-04-25,3:38,"7,721",87,22,234.9,"55,833",11.03%,$12.50
9trQe9piMiI,Line Rangers 數據分析EP.26 || 2023年度回顧，誰是最強火打？ ||,2023-12-18,2:27,"7,719",82,23,183.9,"63,340",9.93%,$8.40
kHsNhGF_uxk,Line Rangers 數據分析EP.35 || 能力解說！那些你可能不知道的數值？ ||,2024-03-16,2:00,"7,718",168,36,173.3,"61,982",9.50%,$10.88
ctyWMUam2tY,Line Rangers-觀眾投稿EP.313 || Skill+的強化，兩下爆塔的聖誕兔！ ||,2024-04-19,2:07,"7,704",93,16,175.5,"51,716",11.82%,$13.32
-wvIQ7VX6mE,Line Rangers 數據分析EP.39 || 公式解說—命中與必中的差異 ||,2024-07-16,3:18,"7,703",141,26,213.6,"58,779",10.18%,$8.34
k9GPIKdtw4k,Line Rangers-觀眾投稿EP.376 || 傳奇玩家經歷分享！無課大一的小號歷程 ||,2024-09-13,2:08,"7,677",75,21,165.4,"59,255",10.49%,$8.18
KhHa8VLa95w,Line Rangers-觀眾投稿EP.254 || 傳奇六停產，居然只是低標? ||,2023-12-13,1:52,"7,656",90,10,155.7,"59,453",11.07%,$7.64
cS8CKyyv58o,Line Rangers隨手拍EP.46 || 沒了出動bug後...新副本攻略？ ||,2023-11-14,2:23,"7,654",80,18,182.9,"53,669",11.83%,$10.37
qzVXGVhEsk4,Line Rangers 數據分析EP.90 || 隨機骰子活動開跑－九星蛙的機率有多高？ ||,2025-11-14,4:40,"7,650",103,33,264.2,"66,563",9.62%,$8.50
JCqsrdzX_VQ,Line Ranger觀眾求救系列 EP.4 || 主困48關-叛軍出現!!! ||,2022-05-09,1:53,"7,650",46,9,148.8,"94,415",6.40%,$4.95
q6_8oOVug64,Line Rangers隨手拍EP.35 || 最難的無限之塔！四種機關同時啟用！無限之塔149樓平民攻略！ ||,2023-09-04,2:24,"7,624",61,17,163.8,"54,841",11.32%,$8.45
UpuFK0IUvMA,Line Rangers-觀眾投稿EP.361 || 似乎沒人討論的大獎！存在感超低的伊佐那 ||,2024-08-01,3:45,"7,608",76,18,214.4,"52,813",11.77%,$8.78
U5TSPtXq8uU,Line Rangers 數據分析EP.41 || 2024-7月份傳奇PvP角色使用率！ ||,2024-07-29,2:41,"7,579",148,32,204.6,"64,850",9.28%,$7.13
4rkKOU7Nc2M,Line Rangers-觀眾投稿EP.292 || 強勢平民木打？用途廣大的偶像兔兔 ||,2024-03-08,3:34,"7,574",54,12,208.6,"54,696",11.13%,$11.28
xYWe4tqFS0w,Line Rangers 數據分析EP.11 || 令人不解的生產礦物－為什麼場內場外的礦物量不同？公式大解密！ ||,2023-06-23,3:14,"7,556",155,16,209.9,"50,375",11.55%,$10.91
zHnCgu8dOC4,Line Rangers 數據分析EP.18 || 火打比一比，感覺會有一點點爭議...? ||,2023-10-05,3:42,"7,554",99,35,247.1,"75,934",8.36%,$9.64
8YkzrH7eGug,Line Rangers-觀眾投稿EP.421 || 完全體部長？做壞的裝備組合！ ||,2024-12-07,2:41,"7,542",74,27,182.5,"57,273",10.76%,$7.59
DmfCgz6l9No,Line Rangers-觀眾投稿EP.319 || 毅力劍客饅頭人...那就是偷塔的時刻了！ ||,2024-05-03,3:45,"7,541",61,13,239.3,"63,022",9.60%,$9.96
gpr5bBjPO1Y,Line Rangers 數據分析EP.5 || 範馬 v.s. 進擊的巨人(上)-刃牙是否依舊強勢？ ||,2022-11-30,1:56,"7,534",66,24,134.6,"51,305",11.83%,$7.07
7ZPT8d7t5ck,Line Rangers-觀眾投稿EP.377 || 阿努比斯復刻！唯一100%技發的角色 ||,2024-09-14,3:55,"7,520",73,30,241.1,"56,720",10.62%,$8.34
L4_SfbGHm_g,(有字幕)Line Rangers || 11週年寵預告！ ||,2025-02-19,3:49,"7,511",90,16,201.3,"48,463",12.84%,$6.35
HS5rfbGSo_U,Line Rangers-觀眾投稿EP.98 || 亡者招集者，戰線混亂派成員－阿努比斯熊大 ||,2023-01-20,3:12,"7,498",71,28,228.5,"60,318",10.25%,$11.90
U1WUdPo-C3M,Line Rangers 數據分析EP.93 || 2025年度回顧，誰是最強木打？ ||,2025-12-11,10:32,"7,449",81,20,472.8,"62,975",10.00%,$8.99
moa2cOBA-tU,Line Rangers 數據分析EP.23 || 2023年度回顧，誰是最強水打？ ||,2023-12-07,3:20,"7,407",93,27,212.4,"51,533",11.14%,$9.92
zNGUmFykLVw,Line Rangers隨手拍EP.38 || 我把「最強」光寵240等了!? ||,2023-09-23,3:15,"7,402",57,13,195.2,"58,263",10.55%,$9.23
LvgzsB7tiH8,Line Rangers 數據分析EP.86 || 2025-9月傳奇PvP角色使用率！ ||,2025-09-29,4:49,"7,400",81,17,272.2,"63,631",9.53%,$8.96
OaHPFk7k8sc,Line Rangers 數據分析EP.46 || 2024-9月份傳奇PvP角色使用率！ ||,2024-09-29,2:28,"7,400",104,32,187.0,"63,589",9.58%,$7.03
JGo1jUTZT_0,Line Rangers-觀眾投稿EP.427 || 失望大於期待？小尷尬的艾勒 ||,2024-12-20,3:42,"7,382",75,25,239.9,"67,419",8.86%,$7.90
FI6rU02DvHo,Line Rangers-觀眾投稿EP.112 || 三打手屬性強化！大師場超暴力輸出！ ||,2023-02-23,3:30,"7,372",63,17,208.3,"57,300",11.12%,$10.31
_3GDPCbtpS0,Line Rangers-觀眾投稿EP.203 || 等級沒滿的誘餌?阿亮的超猛停產陣! ||,2023-08-12,2:15,"7,361",67,8,176.4,"61,730",10.25%,$9.81
2XpwK04uGQI,Line Rangers-觀眾投稿EP.386 || 只用四隻寵！大師PvP實戰 ||,2024-09-28,2:48,"7,345",75,20,173.1,"54,810",10.99%,$6.60
uv51wUiPql0,Line Rangers隨手拍EP.54 || 坦克模範生魔術熊！三年的不敗之身 ||,2024-02-14,3:11,"7,329",86,29,216.6,"65,410",9.59%,$11.19
s7fkROPUi_Y,Line Rangers-觀眾投稿EP.250 || 魔術師熊大的乾妹？超級抖M的達克妮絲 ||,2023-12-02,3:13,"7,324",92,12,206.4,"57,429",10.69%,$8.60
V5Pg8_v_-ng,Line Rangers 數據分析EP.53 || 死亡交叉點！傳奇銀時取代時鐘？ ||,2024-12-13,2:33,"7,307",88,25,186.6,"54,787",10.43%,$6.13
9sw_zB78Oko,Line Rangers 數據分析EP.33 || 擴大技能範圍寵，如何選擇？ ||,2024-02-03,2:49,"7,302",87,19,194.1,"62,099",9.92%,$14.11
YyTTBOu_xMA,Line Rangers-觀眾投稿EP.320 || 詹姆士終於回歸！最痛自家智寵強勢登場 ||,2024-05-05,3:01,"7,300",64,8,188.8,"46,888",12.76%,$12.96
NVHkpc73bZw,Line Rangers-觀眾投稿EP.326 || 礙礦的悲歌，三寵就扁贏傳奇？ ||,2024-05-20,2:22,"7,271",73,33,180.8,"61,856",9.64%,$7.91
oLu1DLjeFqw,LINE Rangers || 一年一度的萬聖裝即將到來！萬聖節裝備分析 ||,2023-10-22,1:02,"7,262",86,13,81.6,"47,823",12.06%,$8.26
-du4eHBXoCw,Line Rangers 數據分析EP.2 || 最強光打手爭奪戰-弱肉強食、誰與爭鋒 ||,2022-09-12,2:43,"7,260",86,22,178.0,"59,471",9.02%,$7.43
e9n-7Ntrivs,Line Rangers放置戰爭-隨手拍EP.0 || 事前登錄活動！達標送香檳兔！ ||,2024-10-29,1:46,"7,247",68,19,95.3,"43,096",13.37%,$8.68
hf-ObnbES8k,Line Rangers隨手拍EP.120 || 搖滾熊大－聊聊他未來的處境吧！ ||,2025-11-16,3:40,"7,209",82,34,247.6,"52,372",11.49%,$7.69
QSVthmhLuR8,Line Rangers隨手拍EP.62 || 發必達文西，發瘋達文西！ ||,2024-04-14,1:33,"7,207",83,23,129.4,"45,416",12.64%,$6.49
j97hz5aCybc,Line Ranger隨手拍系列 EP.2 || 姐妹對決-香檳兔兔vs鍵盤手兔兔 || @天然的人工色素,2022-03-29,1:40,"7,201",48,13,120.1,"59,758",9.87%,$3.40
X9TmF8S_0yI,Line Rangers-觀眾投稿EP.556 || 才能安妮亞－超強化誘惑實戰效果？ ||,2025-12-07,3:57,"7,179",83,18,241.0,"52,312",11.50%,$7.75
IkhmPKDb_DY,Line Rangers-觀眾投稿EP.297 || 久違的始祖之戰！ ||,2024-03-21,2:03,"7,176",71,18,164.0,"51,924",10.93%,$9.12
_5-1O3ljniM,Line Rangers-觀眾投稿EP.144 || NFT的達文西登場－說真的，我更喜歡原本那隻… ||,2023-05-01,4:39,"7,135",61,17,224.6,"42,710",14.36%,$10.49
a4UCp0e07DM,Line Rangers-觀眾投稿EP.578 || 泰拳饅頭人－新能力礦物小偷登場！ ||,2026-02-28,6:04,"7,132",73,27,328.5,"45,505",13.36%,$4.02
GHmYKFArXe4,Line Rangers 數據分析EP.12 || 主線獎勵小更新！刷P寵將更輕鬆!? ||,2023-07-15,1:57,"7,126",92,21,130.0,"50,226",11.06%,$6.96
jLGtjKcPWI4,Line Rangers-觀眾投稿EP.296 || 不進化比進化還強？鎖招艾莉絲開戰!! ||,2024-03-19,3:11,"7,122",98,20,220.5,"53,848",10.47%,$10.95
G21rgjEJ_GE,Line Rangers-觀眾投稿EP.159 || 暗屬性扭蛋復刻！最強控場組合出現！ ||,2023-05-23,4:53,"7,118",72,26,263.3,"63,709",9.57%,$10.93
KqiWUtsllAE,(有字幕)Line Rangers-觀眾投稿EP.476 || 真．完全體千空—喜獲解除增益後...？ ||,2025-04-10,5:32,"7,109",101,30,274.6,"44,814",13.08%,$8.54
20r3uKioBaU,Line Rangers-觀眾投稿EP.351 || 泡泡技能暗改！？這根本做壞了吧！ ||,2024-07-11,3:44,"7,083",74,34,225.4,"53,065",10.79%,$9.29
slGEy1JSMtA,Line Rangers-觀眾投稿EP.89 || 打不下來的聖誕精靈－聖誕精靈莎莉參戰！ ||,2022-12-24,4:37,"7,083",74,24,283.4,"57,900",10.30%,$10.87
mpDRRfzc0m4,Line Rangers-觀眾投稿EP.264 || 賭徒兔兔－當之無愧的最強控場 ||,2024-01-13,3:49,"7,073",76,21,225.8,"61,455",9.69%,$10.80
T_vF-wbMkq4,LINE Rangers || 11週年限定裝備－裝備分析+抽裝攻略 ||,2025-03-03,1:41,"7,067",71,17,110.6,"56,017",10.55%,$7.64
q3DIb7snqfQ,Line Ranger隨手拍系列 EP.6 || 主困109~120關-一堆草屬搞亂我的一章... ||,2022-07-03,6:01,"7,057",44,18,271.8,"54,518",10.97%,$6.75
I8FDFq55mxI,LINE Rangers || 終末的女武神II合作－裝備分析+抽裝攻略 ||,2023-09-26,1:45,"7,049",72,23,110.8,"49,723",11.38%,$6.66
THlolZNkdqU,Line Rangers 數據分析EP.27 || 打前排打後排差異？其實主唱能無痛殺獵人？ ||,2023-12-19,2:48,"7,030",99,21,206.2,"55,786",9.19%,$9.09
AIL3PK8o4os,Line Rangers銀河特攻隊 || 週年預告！直接拿預告片段分析！ ||,2026-02-24,4:28,"7,026",78,15,255.9,"43,475",13.74%,$4.85
OCtKvH3TRA8,Line Rangers 2022聖誕節活動 || 超強飛寵＋必中新裝備＋扭蛋卷大放送!? ||,2022-12-23,2:40,"7,021",76,52,164.0,"43,883",13.79%,$11.44
654EIyrP-kE,Line Rangers-觀眾投稿EP.97 || 實戰銀火龍熊大！後排電暈依然猛 ||,2023-01-15,3:32,"7,015",63,19,227.1,"42,873",14.05%,$9.34
898tRSOVngM,Line Rangers-觀眾投稿EP.404 || 修女潔西卡－極其罕見的平民寵！ ||,2024-11-02,3:51,"7,013",80,15,221.2,"50,775",10.71%,$13.72
22gAiONGNj8,Line Ranger隨手拍系列 EP.9 || 暴力的雷姆－降臨/無限輕鬆碾！ ||,2022-12-26,3:07,"6,992",66,27,216.5,"59,227",9.56%,$9.47
hFaga7C6QaI,LINE Rangers || 銀魂合作！裝備分析＋抽裝攻略 ||,2024-12-01,1:43,"6,991",76,24,121.1,"55,125",10.15%,$4.19
BcShFGYU9i4,Line Rangers 數據分析EP.24 || 2023年度回顧，誰是最強木打？ ||,2023-12-12,2:48,"6,975",91,21,185.9,"51,387",10.98%,$8.36
ZmaDshZHqio,Line Rangers-觀眾投稿EP.325 || 死者熊大－一隻扛下全戰線！？ ||,2024-05-18,4:04,"6,948",102,37,236.0,"47,974",11.82%,$8.53
hsDyvOHp850,Line Rangers始祖系列特別篇-百發百中大軍的逆襲 || 無好友打贏444關!? ||,2022-07-20,5:09,"6,939",75,19,283.5,"65,717",8.34%,$5.39
0IoGIXhQ4jo,Line Ranger隨手拍系列 EP.3 || 正攻主困48關-只用五隻+無坦克+無複製+無魅惑!? ||,2022-06-02,2:05,"6,930",65,12,144.8,"42,243",14.35%,$7.30
iUiYkOuC_NU,Line Rangers-觀眾投稿EP.258 || 新年揮毫部長－一筆畫出空軍噩夢？ ||,2024-01-02,3:35,"6,894",57,9,205.2,"60,449",9.80%,$9.05
4s-KlwroWA4,Line Rangers 數據分析EP.6 || 範馬 v.s. 進擊的巨人(下)-新神木間的競爭 ||,2022-12-02,2:09,"6,882",46,32,141.6,"43,972",13.19%,$7.81
U6Ng4u78kos,LINE Rangers || 數碼寶貝合作裝備－裝備分析+抽裝攻略 ||,2024-05-31,1:41,"6,828",68,9,110.4,"51,304",10.52%,$5.90
-GWBdZZrMDo,Line Rangers 數據分析EP.49 || 紅衣潔西卡－主線掉落率實測！ ||,2024-11-21,8:58,"6,824",85,18,162.4,"41,282",11.30%,$10.22
hBAFViXCfsw,LINE Rangers銀河特攻隊 || 鱷魚王劍復刻！－裝備分析+抽裝攻略 ||,2025-04-30,0:54,"6,813",73,13,64.0,"55,183",10.03%,$5.10
MfzF888bgiI,LINE Rangers銀河特攻隊 || 新手福音！火貓可以刷了？刷P寵效率提高！ ||,2024-11-20,1:27,"6,733",60,15,88.6,"53,014",10.13%,$5.32
eTbbG0KuuKg,Line Rangers-觀眾投稿EP.252 || 惠惠殺手之一？ ||,2023-12-08,3:44,"6,731",78,32,195.0,"45,083",12.90%,$8.94
dmbLBt1sGWg,(有字幕)Line Rangers 數據分析EP.68 || 後移寵之戰2！雷姆的第二次挑戰 ||,2025-04-05,5:11,"6,711",99,21,291.2,"47,817",11.48%,$4.72
fDcEU4DO-tw,Line Rangers-觀眾投稿EP.295 || 平民最強礙礦－電子場記板莎莉 ||,2024-03-15,3:31,"6,704",72,13,188.2,"56,882",9.34%,$9.50
uFOBZOWqFF4,Line Rangers隨手拍EP.61 || 冷門高級效果！提高站位的魯迪有料 ||,2024-04-13,3:33,"6,702",66,24,201.9,"47,882",11.24%,$7.71
M1Xvt4CoiBY,LINE Rangers || 魔都精兵的奴隸合作！暗屬性強化防具登場！ ||,2024-09-30,1:42,"6,697",86,30,116.6,"55,493",9.77%,$5.44
jREr-zqrNlM,Line Rangers 數據分析EP.9 || 關於商城價格變動，好？還是壞？ ||,2023-05-11,2:56,"6,693",64,15,179.5,"54,061",10.61%,$9.66
QrKlUiPP4IY,LINE Rangers銀河特攻隊 || 夜櫻家大作戰合作－裝備分析+抽裝攻略 ||,2025-06-01,1:51,"6,677",71,25,119.1,"50,755",10.70%,$7.83
qUL1BC88uSA,Line Rangers-觀眾投稿EP.385 || 公會戰修塔爾克！強到被當外掛！？ ||,2024-09-27,3:12,"6,670",80,17,191.6,"56,922",9.42%,$6.62
m-2ishnQvEw,Line Rangers-觀眾投稿EP.547 || 滿才能河童－百大使用率飆升第二！ ||,2025-11-19,4:41,"6,668",60,23,242.1,"52,801",10.67%,$7.06
5yhxDnzKXCA,Line Rangers 數據分析EP.48 || 2024-10月份傳奇PvP角色使用率！ ||,2024-10-27,1:42,"6,618",81,18,124.1,"46,292",11.50%,$6.93
GufQ4Kl0WnY,Line Rangers-觀眾投稿EP.286 || 必中占卜強度超可怕？居然還打上傳奇？！ ||,2024-02-25,3:27,"6,606",74,12,192.9,"52,783",10.30%,$9.98
KpWw3-6Tiwo,Line Rangers || 活動商店兌換全分析！ ||,2024-09-07,1:03,"6,597",106,23,79.8,"37,436",12.51%,$4.72
4C6h80ieI74,LINE Rangers || 東京復仇者合作！裝備分析＋抽裝攻略 ||,2024-08-02,1:47,"6,591",65,23,112.9,"50,276",9.93%,$5.77
Ip-jK9w0Ezw,LINE Rangers || 終末的女武神3合作！裝備分析＋抽裝攻略 ||,2026-02-02,1:43,"6,578",75,21,114.6,"42,135",12.33%,$4.40
yH6eg7ZiW8Y,Line Rangers-觀眾投稿EP.557 || 才能約兒－技能攻擊無效有強度？ ||,2025-12-09,3:51,"6,574",84,14,216.5,"44,700",12.09%,$6.31
vrlZJemSC4Y,Line Rangers-觀眾投稿EP.228 || 被誤認開掛？超極限防守反殺！ ||,2023-10-09,2:00,"6,555",75,30,162.3,"49,682",11.06%,$7.73
2eZiFUlkPiA,Line Rangers-觀眾投稿EP.320 || 樹木李奧納德－差點破百萬的體力!? ||,2024-05-07,2:44,"6,533",65,16,165.1,"42,774",12.65%,$8.10
GBQrveG9FPk,Line Rangers-觀眾投稿EP.288 || 愛麗絲兔兔—最強平民飛寵！ ||,2024-02-27,4:30,"6,523",51,13,207.2,"59,527",8.43%,$8.01
l23hvbL-46E,Line Rangers-觀眾投稿EP.314 || 180等場記板！最強平民礙礦的巔峰 ||,2024-04-20,2:56,"6,512",75,11,172.5,"46,203",11.38%,$8.85
IpwMDUFZ4J0,Line Rangers-觀眾投稿EP.560 || 郵差噗噗－有才能的妖精登場！？ ||,2025-12-20,5:20,"6,498",76,30,242.0,"49,726",10.80%,$6.46
FNkUXmhRpdw,Line Rangers-觀眾投稿EP.23 || 極大的裝備落差，意外的對戰結局 ||,2022-06-25,2:47,"6,482",56,13,142.0,"52,638",10.96%,$6.80
euAHuHlA5k0,LINE Rangers || 美好世界3合作－裝備分析+抽裝攻略 ||,2023-11-30,2:03,"6,476",67,14,106.8,"47,149",10.70%,$6.88
Ob5_W3v55KM,(有字幕)Line Rangers-觀眾投稿EP.491 || 朝野太陽－抗停產重置初登場！ || feat. @summerize_pk,2025-05-31,4:46,"6,467",78,20,192.2,"49,359",10.75%,$8.79
eVF_L-l6gGY,Line Rangers-觀眾投稿EP.206 || 主唱熊大活不過兩秒!? 屬強＋鱷魚王劍的汽水兔兔！ ||,2023-08-26,1:35,"6,450",52,12,109.2,"51,513",10.73%,$5.66
GGlPBANJWH0,Line Rangers-觀眾投稿EP.92 || 熱血減重饅頭人-暗飛的惡夢，開啟！ ||,2023-01-04,3:08,"6,442",50,17,192.2,"51,182",10.82%,$9.03
Ec5JNLdUMec,Line Rangers隨手拍EP.77 || 週年限定裝備！超實用的水領巾 ||,2024-09-12,2:50,"6,440",72,20,153.0,"48,124",10.64%,$6.96
IuLf6Ve4S8E,Line Rangers-觀眾投稿EP.420 || 土方十四郎－2024最強合作小獎！？ ||,2024-12-04,4:01,"6,411",68,19,202.8,"53,629",9.53%,$15.98
i0VwUzhMYDY,Line Rangers-觀眾投稿EP.306 || 世代交替？曾經風光的舊魯迪！ ||,2024-04-04,3:49,"6,406",87,14,188.3,"47,080",11.03%,$9.20
6G-WJ9Uv79w,Line Rangers-觀眾投稿EP.555 || 貫穿狂徒－在暴力上錦上添花！！ ||,2025-12-05,3:47,"6,400",76,14,197.7,"54,782",9.91%,$6.65
EosEMMgsmEk,Line Rangers隨手拍EP.52 || 灑水小櫻－新一代平民水打 ||,2024-01-07,3:52,"6,388",67,17,212.2,"54,847",9.65%,$8.71
NkTSodBsenw,Line Rangers-觀眾投稿EP.315 || 副本神寵水貓，是否能打PvP？ ||,2024-04-22,3:20,"6,373",70,14,180.6,"45,929",11.14%,$9.68
nAfMexZtyuY,Line Rangers 數據分析EP.103 || 2026-1月傳奇PvP角色使用率！ ||,2026-01-26,7:15,"6,365",63,15,307.1,"61,397",8.56%,$5.81
rAoKvMIYoRk,(有字幕)Line Rangers 數據分析EP.69 || LR機率論！其實你不一定很非？ ||,2025-04-21,13:09,"6,355",182,64,345.7,"50,480",10.06%,$5.22
wFjIEbjDoV0,Line Rangers-觀眾投稿EP.568 || 新五人陣？大河童時代怎麼解？ ||,2026-01-24,3:10,"6,350",61,9,161.7,"49,944",10.56%,$4.99
8gQnNkuMR6c,Line Rangers || 11.5週年活動商店兌換全分析！ ||,2025-08-30,1:10,"6,300",80,20,76.0,"53,452",9.29%,$4.35
N1iX8anQlZU,(有字幕)Line Rangers隨手拍EP.92 || 有達文西莎莉，誰還在乎稻草人啊？ ||,2025-03-24,4:57,"6,266",77,15,224.6,"53,132",9.93%,$5.71
qB3igNG7pPU,Line Rangers-觀眾投稿EP.332 || 最快的男孩(?)大和！卡位兼跑跑的神寵？ || @nylon1432,2024-06-01,4:13,"6,263",67,21,201.2,"59,244",8.44%,$6.62
xN2RnuOTsXg,Line Rangers || 10.5週年禮包全分析！ ||,2024-09-05,1:05,"6,259",72,21,74.2,"47,775",10.22%,$5.50
cZLAdnXZoTc,Line Rangers-觀眾投稿EP.224 || 史無前例？能破無敵的合作小獎 ||,2023-09-28,3:34,"6,254",68,17,171.3,"47,043",11.11%,$7.97
